organization,program,suggested_primary_category,urgency,services,audiences,languages,phone,website,source_pages,verification_status,verification_lead_source_url,verification_notes
SCCOE Childcare Resource & Referral (R&R) Program,,babies-kids-parents,want-to-connect,Childcare referrals,,,669-212-5437,https://www.childcarescc.org/child-care-referral/search,37,needs_review,https://www.childcarescc.org/child-care-referral/search,
SCCOE Migrant Education Program,,youth-education,want-to-connect,Family and children education support for migrant families,,,408-453-3630,https://www.mepregion1.org,37,needs_review,https://www.mepregion1.org,
Second Harvest of Silicon Valley,,food-basic-needs,i-need-help,Food bank,,,1-800-984-3663,https://www.shfb.org/get-food,52,needs_review,https://www.shfb.org/get-food,
Senior Adults Legal Assistance (SALA),,seniors-disability,i-need-help,Legal services for seniors,seniors,,408-295-5991,https://www.sala.org,52,needs_review,https://www.sala.org,
Silicon Valley Adult Education,,jobs-training,want-to-connect,"Adult education, testing (HiSET/GED)",,,408-723-4249,https://www.metroed.net/svae/regional-testing-center,52,needs_review,https://www.metroed.net/svae/regional-testing-center,
"SIREN (Services, Immigrant Rights & Education Network)",,legal-immigration,i-need-help,Immigrant rights legal services; Rapid Response Network,,,408-453-3003,https://www.sirenimmigrantrights.org,53,needs_review,https://www.sirenimmigrantrights.org,
SJB Child Development Centers,,babies-kids-parents,want-to-connect,Early childhood education,,,408-414-0242,https://www.sjbcdc.org,53,needs_review,https://www.sjbcdc.org,
Society of St. Vincent de Paul Santa Clara County,,food-basic-needs,i-need-help,Food Resources; Financial assistance; Housing Resources,,,408-918-5199,https://www.svdp.org,53,needs_review,https://www.svdp.org,
Sourcewise,,seniors-disability,i-need-help,Senior services and referral,seniors,,408-350-3200,https://www.mysourcewise.com,53,needs_review,https://www.mysourcewise.com,"South County office: 16340 Monterey Rd, Morgan Hill, 408-762-7362."
SparkPoint,,community-support,want-to-connect,Financial and legal advice,,,408-918-5199,https://www.wi-sjeccd.org/sparkpoint,53,needs_review,https://www.wi-sjeccd.org/sparkpoint,
St. Louise Regional Hospital,,urgent-safety,help-now,Hospital,,,408-848-2000,https://slrh.sccgov.org,4,needs_review,https://slrh.sccgov.org,TTY: 408-842-0409.
Stand Up For Kids - Silicon Valley,,youth-education,help-now,Emergency and Homeless Assistance for youth; Family and Children Resources; Food Resources; Housing Resources; Employment Resources,youth,,408-883-4135,https://www.standupforkids.org/siliconvalley,"4,53",needs_review,https://www.standupforkids.org/siliconvalley,
Stanford Hospital,Emergency Department,urgent-safety,help-now,Hospital emergency department,,,650-723-5111,https://stanfordhealthcare.org,4,needs_review,https://stanfordhealthcare.org,
STARS Behavioral Health Group,Starlight Community Services in Santa Clara,mental-health-recovery,i-need-help,Mental health services,,,408-284-9080,https://www.starsinc.com/santa-clara-county,"4,53",needs_review,https://www.starsinc.com/santa-clara-county,"South San Jose location also listed: 6203 San Ignacio, Ste 150, San Jose, CA 95119."
Sunday Friends,,babies-kids-parents,want-to-connect,Parenting support programs,,,,https://www.sundayfriends.org,53,needs_review,https://www.sundayfriends.org,"Multiple sites: Meadows (1250 Taper Lane) and Lowell (625 S 7th Street), on different Sundays of the month."
Sunnyvale Community Services,,food-basic-needs,i-need-help,Emergency and Homeless Assistance; Food Resources; Transportation Resources,,,408-738-4321,https://www.svcommunityservices.org,"4,53",needs_review,https://www.svcommunityservices.org,
Sunnyvale Department of Public Safety,,urgent-safety,want-to-connect,Police non-emergency line,,,408-730-7100,,4,needs_review,,
"Teen Success, Inc.",,youth-education,i-need-help,Parenting support for teen parents; Educational Support for Adults; Employment Resources,youth,,408-263-8330,https://www.teensuccess.org,53,needs_review,https://www.teensuccess.org,
Together Rx Access,,health-clinics,want-to-connect,Discounted prescription medicine,,,1-800-444-4106,https://www.trxaccess.org,54,needs_review,https://www.trxaccess.org,
United Way Bay Area,,community-support,i-need-help,"Emergency and Homeless Assistance; Employment Resources; Family and Children Resources (Childcare, Youth Support); Food Resources; Housing Services; Free Tax Services (VITA); Financial Advice; Utility Bill Assistance",,,1-800-572-2782,https://www.uwba.org,"4,54",needs_review,https://www.uwba.org,VITA free tax assistance: earnitkeepitsaveit.org.
Valley Transportation Authority (VTA),,transportation-access,want-to-connect,Public transportation,,,408-321-2300,https://www.vta.org/go,54,needs_review,https://www.vta.org/go,"Customer Service 1-800-894-9908, TDD 408-321-2330, Clipper Cards 877-878-8883."
Washoe Native TANF Program,,housing-rent,i-need-help,Financial aid for Native families,,,408-433-1000,https://washoetribe.us,54,needs_review,https://washoetribe.us,
West San Jose Family Resource Center,Sherman Oaks Family Resource Center,babies-kids-parents,want-to-connect,Parenting support,,,408-297-1294,https://www.facebook.com/westsanjoseFRCs,54,needs_review,https://www.facebook.com/westsanjoseFRCs,
West Valley College,CalWORKs Program,jobs-training,want-to-connect,Adult education,,,,https://www.westvalley.edu,54,needs_review,https://www.westvalley.edu,
Women of Silicon Valley (WomenSV),,urgent-safety,help-now,Domestic violence support helpline,,,833-966-3678 x 0,https://www.womensv.org,"4,54",needs_review,https://www.womensv.org,
"Women, Infants & Children Food and Education Program (WIC)",,babies-kids-parents,i-need-help,Nutrition support for mothers and infants,,,1-888-942-9675,https://www.sccgov.org/sites/phd/services/Wic/Pages/wic-home.aspx,54,needs_review,https://www.sccgov.org/sites/phd/services/Wic/Pages/wic-home.aspx,Santa Clara County WIC 408-792-5101; Gardner Health Services 408-254-5197; Indian Health Center 408-960-0900.
Work2Future,,jobs-training,want-to-connect,Youth and adult work and training programs,,,408-794-1100,https://www.work2future.org,54,needs_review,https://www.work2future.org,"Also North San Jose Job Center (1901 Zanker Rd, 408-216-6200) and Gilroy Center (379 Tomkins Ct., 408-758-3477)."
Working Partnerships USA,Union Community Resources,jobs-training,want-to-connect,Employment Resources,,,408-809-2120,https://www.wpusa.org,54,needs_review,https://www.wpusa.org,
Year Up Bay Area,,jobs-training,want-to-connect,Job training for young adults,youth,,408-824-3061,https://www.yearup.org,54,needs_review,https://www.yearup.org,
Youth Space,,mental-health-recovery,i-need-help,Mental health counseling for LGBTQ youth,youth,,408-343-7940,https://youthspace.org,55,needs_review,https://youthspace.org,
YWCA Golden Gate Silicon Valley,Support Services Department,urgent-safety,help-now,Domestic violence and human trafficking support for women and children; Emergency and Homeless Assistance; Employment Resources; Family and Children Resources; Housing Resources,,,1-800-572-2782,https://yourywca.org,"4,55",needs_review,https://yourywca.org,"Advocate phone 669-231-9513; Sunnyvale Family Justice Center: 298 S. Sunnyvale Ave, 408-749-0793."
